Code,zh-CN,zh-TW,ru,pt,ko,ja,fr,es,en,de
AF-BDS,巴达赫尚省,巴达赫尚省,Бадахшан,Badakhshan,바다흐샨주,バダフシャーン州,Badakhchan,Badakhshān,"Badakhshan",Badachschan
AF-BDG,巴德吉斯省,巴德吉斯省,Бадгис,Bādghīs,바드기스주,バードギース州,Bâdghîs,Bādghīs,"Badghis",Badghis
AF-BGL,巴格兰省,巴格兰省,Баглан,Baghlān,바글란주,バグラーン州,Baghlân,Baghlān,"Baghlan",Baglan
AF-BAL,巴尔赫省,巴尔赫省,Балх,Balkh,발흐주,バルフ州,Balkh,Balkh,"Balkh",Balch
AF-BAM,巴米扬省,巴米扬省,Бамиан,Bāmīān,바미안주,バーミヤーン州,Bâmiyân,Bāmīān,"Bamyan",Bamiyan
AF-DAY,戴孔迪省,戴孔迪省,Дайкунди,Dāykondī,다이쿤디주,ダーイクンディー州,Deykandi,Dāykondī,"Daykundi",Daikondi
AF-FRA,法拉省,法拉省,Фарах,Farāh,파라 주,ファラー州,Farâh,Farāh,"Farah",Farah
AF-FYB,法利亚布省,法利亚布省,Фарьяб,Fāryāb,파르야브주,ファーリヤーブ州,Fâryâb,Fāryāb,"Faryab",Faryab
AF-GHA,加兹尼省,加兹尼省,Газни,Ghaznī,가즈니주,ガズニー州,Ghazni,Ghaznī,"Ghazni",Ghazni
AF-GHO,古尔省,古尔省,Гор,Ghowr,구르주,ゴール州,Ghôr,Ġawr,"Ghōr",Ghor
AF-HEL,赫尔曼德省,赫尔曼德省,Гильменд,Helmand,헬만드주,ヘルマンド州,Helmand,Helmand,"Helmand",Helmand
AF-HER,赫拉特省,赫拉特省,Герат,Herāt,헤라트주,ヘラート州,Hérât,Herāt,"Herat",Herat
AF-JOW,朱兹詹省,朱兹詹省,Джаузджан,Jowzjān,주즈잔주,ジョウズジャーン州,Djôzdjân,Jawzjān,"Jowzjan",Dschuzdschan
AF-KAB,喀布尔省,喀布尔省,Кабул,Kābul,카불주,カーブル州,Kaboul,Kābul,"Kabul",Kabul
AF-KAN,坎大哈省,坎大哈省,Кандагар,Candaar,칸다하르주,カンダハール州,Kandahâr,Kandahār,"Kandahar",Kandahar
AF-KAP,卡比萨省,卡比萨省,Каписа,Kāpīsā,카피사주,カーピーサー州,Kâpîssâ,Kāpīsā,"Kapisa",Kapisa
AF-KHO,霍斯特省,霍斯特省,Хост,Khowst,호스트주,ホースト州,Khôst,Khowst,"Khost",Chost
AF-KNR,库纳尔省,库纳尔省,Кунар,Konar,쿠나르주,クナル州,Kounar,Konar,"Kunar",Kunar
AF-KDZ,昆都士省,昆都士省,Кундуз,Kondoz,쿤두즈주,クンドゥーズ州,Kondôz,Kondoz,"Kunduz",Kundus
AF-LAG,拉格曼省,拉格曼省,Лагман,Laghmān,라그만주,ラグマーン州,Laghmân,Laghmān,"Laghman",Laghman
AF-LOG,洛加尔省,洛加尔省,Логар,Lowgar,로가르주,ローガル州,Lôgar,Lowgar,"Logar",Lugar
AF-NAN,楠格哈尔省,楠格哈尔省,Нангархар,Nangrahār,낭가르하르주,ナンガルハール州,Nangarhâr,Nangrahār,"Nangarhar",Nangarhar
AF-NIM,尼姆鲁兹省,尼姆鲁兹省,Нимроз,Nīmrūz,님루즈주,ニームルーズ州,Nimrôz,Nīmrūz,"Nimruz",Nimrus
AF-NUR,努尔斯坦省,努尔斯坦省,Нуристан,Nūrestān,누리스탄주,ヌーリスターン州,Nourestân,Nūrestān,"Nuristan",Nuristan
AF-PIA,帕克蒂亚省,帕克蒂亚省,Урузган,Orūzgān,우루즈간주,パクティーカー州,Orozgân,Orūzgān,"Paktika",Pandschschir
AF-PKA,帕克蒂卡省,帕克蒂卡省,Панджшер,Panjshīr,팍티야주,パクティヤー州,Pandjchir,Paktīā,"Paktia",Paktia
AF-PAN,潘傑希爾省,潘傑希爾省,Пактия,Paktīā,팍티카주,パンジシール州,Paktiyâ,Paktīkā,"Panjshir",Paktika
AF-PAR,帕尔旺省,帕尔旺省,Пактика,Paktīkā,판지시르주,パルヴァーン州,Paktîkâ,Panjshīr,"Parwan",Parwan
AF-SAM,萨曼甘省,萨曼甘省,Забуль,Parwān,파르반주,サマンガーン州,Parwân,Parwān,"Samangan",Samangan
AF-SAR,萨尔普勒省,萨尔普勒省,Парван,Samangān,사망간주,サーレポル州,Samangân,Samangān,"Sar-e Pol",Sar-i Pul
AF-TAK,塔哈尔省,塔哈尔省,Саманган,Sar-e Pol,사르이폴주,タハール州,Sar-é Pol,Sar-e Pol,"Takhar",Tachar
AF-URU,乌鲁兹甘省,乌鲁兹甘省,Сари-Пуль,Takhār,타하르주,ウルーズガーン州,Takhâr,Takhār,"Urozgan",Uruzgan
AF-WAR,瓦尔达克省,瓦尔达克省,Тахар,Wardak,바르다크주,ヴァルダク州,Wardak,Wardak,"Maidan Wardak",Wardak
AF-ZAB,扎布尔省,扎布尔省,Вардак,Zābol,자불주,ザーブル州,Zabol,Zābol,"Zabul",Zabul
